Source,Target,Weight,Cluster
0,1,0.017880917,0
0,10890,0.01843059,0
0,8301,0.018453002,0
0,4474,0.019084096,0
1,0,0.017880917,0
1,2236,0.020519555,0
1,9494,0.02144432,0
1,11729,0.022720814,0
2,10653,0.02870673,0
2,13497,0.030858338,0
2,3,0.031262875,0
2,4976,0.032087207,0
3,11729,0.026310802,0
3,11334,0.026823401,0
3,11718,0.027315736,0
3,9450,0.027317703,0
4,12900,0.02847004,0
4,8044,0.030479074,0
4,5987,0.030861199,0
4,12928,0.03186214,0
5,6,0.02183485,0
5,1346,0.026762843,0
5,7267,0.028183699,0
5,10023,0.02854091,0
6,5,0.02183485,0
6,6905,0.027214527,0
6,9948,0.028008223,0
6,6289,0.028063416,0
7,10,0.041218996,2
7,4764,0.043382823,2
7,8,0.04484701,2
7,1346,0.045836926,2
8,10,0.0325706,2
8,8909,0.032824755,2
8,7,0.04484701,2
8,12526,0.049151063,2
9,10,0.05224204,1
9,11164,0.05578971,1
9,12872,0.058726072,1
9,8,0.059996247,1
10,8,0.0325706,2
10,8909,0.040906906,2
10,7,0.041218996,2
10,8907,0.04504639,2
11,11472,0.02832979,0
11,10126,0.03136891,0
11,5648,0.03316635,0
11,7559,0.03408265,0
12,5415,0.033174038,0
12,5676,0.033290267,0
12,5416,0.035390615,0
12,397,0.0362857,0
13,11713,0.051706016,0
13,11712,0.05539453,0
13,5265,0.05850923,0
13,11362,0.059343398,0
14,520,0.06952131,0
14,6359,0.06990862,0
14,9064,0.070920825,0
14,10271,0.071146965,0
15,17,0.041346073,0
15,16,0.046393394,0
15,5946,0.046678424,0
15,6369,0.04777348,0
16,5266,0.031181872,0
16,10412,0.032864213,0
16,10901,0.03423524,0
16,4373,0.03450483,0
17,8765,0.031924844,0
17,8297,0.033303738,0
17,4373,0.03362626,0
17,3932,0.033897758,0
18,13338,0.05014175,0
18,11340,0.051130414,0
18,13339,0.05130744,0
18,10272,0.052323937,0
19,24,0.039291203,3
19,21,0.03953767,3
19,23,0.0442394,3
19,26,0.0456748,3
20,22,0.03953743,3
